bookID,title,authors,  num_pages,ratings_count,text_reviews_count,publication_date
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,652,2095690,27591,9/16/2006
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,870,2153167,29221,01/09/04
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,352,6333,244,01/11/03
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,435,2339585,36325,01/05/04
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,2690,41428,164,9/13/2004
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,152,19,1,4/26/2005
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,3342,28242,808,12/09/05
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,815,3628,254,01/11/05
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,815,249558,4080,4/30/2002
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,215,4930,460,03/08/04
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,6,1266,253,3/23/2005
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,815,2877,195,1/17/1996
21,A Short History of Nearly Everything,Bill Bryson,544,248558,9396,9/14/2004
22,Bill Bryson's African Diary,Bill Bryson,55,7270,499,03/12/02
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,256,2088,131,9/14/2004
24,In a Sunburned Country,Bill Bryson,335,72451,4245,5/15/2001
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,304,49240,2211,6/28/2000
26,The Lost Continent: Travels in Small Town America,Bill Bryson,299,45712,2257,8/28/1990
27,Neither Here nor There: Travels in Europe,Bill Bryson,254,48701,2238,3/28/1993
28,Notes from a Small Island,Bill Bryson,324,80609,3301,5/28/1997
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,270,28489,2085,9/28/1991
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,1728,101233,1550,9/25/2012
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,1184,1710,91,10/21/2004
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,398,2128944,13670,05/09/03
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,1216,1618,140,01/10/02
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,218,19822,46,05/11/03
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,224,359,6,11/15/2004
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,558,1430,59,7/28/2005
50,Hatchet (Brian's Saga  #1),Gary Paulsen,208,270244,12017,01/04/00
